ID,Segment type,Segment Description,Answer,Count,Percentage,It became a relationship
292899.8021,gender,"Meridian, Idaho",No,363.2985585,0.221460374,0
293229.2643,university,University of Washington,No,1.214880737,0.928444715,1
293506.5,university,University of Central Florida,Yes,0.0,0.0,1
292888.5833,gender,"Meridian, Idaho",No,1032.1563210000002,0.301716367,1
292890.9996,web,"Meridian, Idaho",No,0.0,0.0,0
292890.5889,gender,"Meridian, Idaho",No,1085.050524,0.377029667,0
292898.5838,gender,"Meridian, Idaho",No,948.0113977,0.503510579,0
292881.9076,mobile,"Meridian, Idaho",No,863.4787546,0.22424363600000002,1
293441.0,university,Ithaca College,No,2.0,0.5,1
292890.3132,web,"Meridian, Idaho",No,0.0,0.0,0
292887.7358,web,"Meridian, Idaho",No,0.0,0.0,0
292881.3143,mobile,"Meridian, Idaho",No,981.1740715,0.254772114,0
292887.8675,web,"Meridian, Idaho",No,0.0,0.0,0
292899.2574,gender,"Meridian, Idaho",No,552.1788587,0.280068688,0
292889.6878,web,"Meridian, Idaho",No,0.0,0.0,0
292893.8988,mobile,"Meridian, Idaho",No,927.3925132999999,0.39524048100000003,1
292889.5396,web,"Meridian, Idaho",No,0.0,0.0,0
293121.0,university,University of North Carolina,Yes,1.0,0.083,0
293101.0,university,"University of California, San Diego",I don't use Tinder,0.0,0.0,0
292895.8083,mobile,"Meridian, Idaho",No,794.8597602000001,0.412510937,1
292896.821,gender,"Meridian, Idaho",No,378.3847049,0.203447419,0
292891.7138,mobile,"Meridian, Idaho",No,795.4515292,0.355687871,1
292888.083,web,"Meridian, Idaho",No,0.0,0.0,0
292900.3278,gender,"Meridian, Idaho",No,759.5265177,0.448686305,0
293455.0,university,Loyola University Maryland,I don't use Tinder,0.0,0.0,0
292887.2612,web,"Meridian, Idaho",No,0.0,0.0,0
293339.0,university,University of Georgia,No,9.0,0.818,0
293681.3927,university,"Westport, CT",Yes,1.300610616,0.185662165,1
292888.5015,web,"Meridian, Idaho",No,0.0,0.0,0
292881.6106,mobile,"Meridian, Idaho",No,796.9117528,0.21547370600000001,1
292894.8375,gender,"Meridian, Idaho",No,913.7096833999999,0.395042471,1
292888.6724,mobile,"Meridian, Idaho",No,795.891113,0.31347797899999996,1
292887.4555,web,"Meridian, Idaho",No,0.0,0.0,0
292898.3034,gender,"Meridian, Idaho",No,342.06645560000004,0.199741475,0
293377.0,university,University of Pittsburgh,I don't use Tinder,2.0,1.0,1
292949.0,university,Johns Hopkins University,No,76.0,0.551,1
292945.0,university,Indiana University,I don't use Tinder,5.0,0.114,0
292881.4773,mobile,"Meridian, Idaho",No,831.9613099,0.21606846300000002,1
292894.7137,gender,"Meridian, Idaho",No,430.0132338,0.208715636,0
292887.5325,mobile,"Meridian, Idaho",No,1043.723245,0.314942719,1
292899.9143,gender,"Meridian, Idaho",No,817.5609584,0.470799674,1
293049.5062,university,Vanderbilt University,No,23.24481972,0.625273829,1
292883.5064,mobile,"Meridian, Idaho",No,1746.444941,0.45327240799999996,0
292887.161,mobile,"Meridian, Idaho",No,1050.512779,0.310256215,1
292885.6682,mobile,"Meridian, Idaho",No,1077.7906679999999,0.291427541,1
292883.1876,mobile,"Meridian, Idaho",No,957.2433861,0.24856483699999998,1
293205.1461,university,University of Washington,No,1.827246039,0.609386554,1
292889.3128,web,"Meridian, Idaho",No,0.0,0.0,0
292883.3785,mobile,"Meridian, Idaho",No,971.2255402000001,0.252191608,1
292889.0936,web,"Meridian, Idaho",No,0.0,0.0,0
293052.7112,university,Wesleyan University,I don't use Tinder,14.07220725,0.297592336,1
292899.2906,gender,"Meridian, Idaho",No,551.8579312,0.280378549,0
292890.5425,web,"Meridian, Idaho",No,0.0,0.0,0
292900.8686,gender,"Meridian, Idaho",No,536.6030615,0.295107389,0
292887.0167,web,"Meridian, Idaho",No,0.0,0.0,0
292882.333,mobile,"Meridian, Idaho",No,1578.12925,0.40961373,0
293105.0,university,Miami University (Ohio),No,1.0,0.5,1
293613.0,university,Massachusetts Institute of Technology,Yes,0.0,0.0,1
293699.0,university,"Westport, CT",No,0.0,0.0,0
292881.293,mobile,"Meridian, Idaho",No,796.9576541,0.21106615899999998,1
292882.3011,mobile,"Meridian, Idaho",No,1559.455978,0.404770151,0
292890.2125,mobile,"Meridian, Idaho",No,795.6685133999999,0.334852524,1
293639.0,university,Michigan Technological University,No,3.0,0.75,0
292888.6362,web,"Meridian, Idaho",No,0.0,0.0,0
292888.1462,web,"Meridian, Idaho",No,0.0,0.0,0
292889.7984,web,"Meridian, Idaho",No,0.0,0.0,0
292882.2242,mobile,"Meridian, Idaho",No,886.6707716,0.23025931300000002,1
292894.6136,gender,"Meridian, Idaho",No,432.4665857,0.208965978,0
293679.0,university,Colby College,Yes,1.0,0.071,0
292891.9881,gender,"Meridian, Idaho",No,1112.630258,0.424916346,0
292896.0178,mobile,"Meridian, Idaho",No,888.6721176000001,0.42196739200000005,1
292889.9062,web,"Meridian, Idaho",No,0.0,0.0,0
292882.697,mobile,"Meridian, Idaho",No,921.3049095000001,0.239242912,1
292890.0846,gender,"Meridian, Idaho",No,1075.109821,0.35976963,0
292889.1232,web,"Meridian, Idaho",No,0.0,0.0,0
293733.7266,university,University of Tampa,I don't use Tinder,1.0,0.103571513,1
292902.8254,gender,"Meridian, Idaho",No,517.6878008,0.31337039899999997,0
292900.5613,gender,"Meridian, Idaho",No,824.4203415,0.48999795700000004,0
292905.0,university,Chapman University,Yes,13.0,0.20600000000000002,0
292901.9,gender,"Meridian, Idaho",No,463.473872,0.282824309,0
292895.8726,mobile,"Meridian, Idaho",No,891.3250841,0.420136171,1
292890.7997,web,"Meridian, Idaho",No,0.0,0.0,0
292894.9477,gender,"Meridian, Idaho",No,521.6663639999999,0.235398556,0
293211.0,university,Washington University in St. Louis,Yes,1.0,0.125,0
292889.9134,web,"Meridian, Idaho",No,0.0,0.0,0
292893.7751,mobile,"Meridian, Idaho",No,929.6531545,0.393680064,1
292881.1041,mobile,"Meridian, Idaho",No,796.9849601,0.208444165,1
292889.8029,web,"Meridian, Idaho",No,0.0,0.0,0
292900.6108,mobile,"Meridian, Idaho",No,804.7443952000001,0.479898844,1
292888.9765,web,"Meridian, Idaho",No,0.0,0.0,0
293781.0,university,Boston University,Yes,2.0,0.33299999999999996,1
293529.0,university,Gonzaga University,Yes,0.0,0.0,1
292895.4688,mobile,"Meridian, Idaho",No,794.9088174,0.407800348,1
292885.775,mobile,"Meridian, Idaho",No,1075.83813,0.292775289,1
292884.6239,mobile,"Meridian, Idaho",No,1255.3060039999998,0.325878008,0
292887.5024,web,"Meridian, Idaho",No,0.0,0.0,0
292897.9734,gender,"Meridian, Idaho",No,628.266221,0.314482952,0
293231.0,university,Dartmouth College,No,3.0,0.3,0
292897.1868,gender,"Meridian, Idaho",No,1035.326493,0.51305703,0
292898.8983,mobile,"Meridian, Idaho",No,794.4131561,0.455394929,1
292890.5012,web,"Meridian, Idaho",No,0.0,0.0,0
292897.349,gender,"Meridian, Idaho",No,866.1448416000001,0.43251961299999997,1
292896.4422,gender,"Meridian, Idaho",No,387.6669644,0.20439458800000002,0
292882.2962,mobile,"Meridian, Idaho",No,1556.581408,0.40402452899999997,0
292888.2864,mobile,"Meridian, Idaho",No,795.9469002999999,0.308121147,1
292898.3278,mobile,"Meridian, Idaho",No,846.4606333999999,0.451104041,1
292895.159,mobile,"Meridian, Idaho",No,904.3640154999999,0.411135995,1
293641.0,university,Michigan Technological University,I don't use Tinder,1.0,0.25,1
292881.0,mobile,Mobile respondents,Yes,797.0,0.207,1
292895.4868,gender,"Meridian, Idaho",No,535.4126758,0.24159787300000002,0
292888.6161,gender,"Meridian, Idaho",No,1046.163692,0.30951048,0
292889.1099,web,"Meridian, Idaho",No,0.0,0.0,0
292979.0,university,Santa Clara University,No,4.0,0.8,0
292894.2649,gender,"Meridian, Idaho",No,504.2544386,0.227546119,0
292882.9456,mobile,"Meridian, Idaho",No,939.5182615,0.243967194,1
292894.0514,gender,"Meridian, Idaho",No,476.62601950000004,0.22372395399999997,0
293112.4954,university,University of Mississippi,Yes,1.430426465,0.856667987,1
292887.0103,web,"Meridian, Idaho",No,0.0,0.0,0
293589.0,university,Appalachian State University,Yes,16.0,0.139,0
292882.0347,mobile,"Meridian, Idaho",No,872.7944315999999,0.22665998899999998,1
292889.0112,web,"Meridian, Idaho",No,0.0,0.0,0
292900.9078,gender,"Meridian, Idaho",No,802.7631414,0.487630103,0
293089.0,university,Wesleyan University,I don't use Tinder,0.0,0.0,1
293293.0,university,Tufts University,I don't use Tinder,2.0,0.28600000000000003,1
292883.5396,mobile,"Meridian, Idaho",No,983.0257359999999,0.25525240899999996,1
292881.6469,mobile,"Meridian, Idaho",No,796.9065016,0.215977941,1
292889.2479,web,"Meridian, Idaho",No,0.0,0.0,0
292886.1024,mobile,"Meridian, Idaho",No,1069.85561,0.296904748,1
292893.7317,gender,"Meridian, Idaho",No,1147.000012,0.484592533,0
292890.5167,web,"Meridian, Idaho",No,0.0,0.0,0
292891.9924,mobile,"Meridian, Idaho",No,962.2275182,0.37119547700000005,1
292897.0,gender,Male respondents,I don't use Tinder,574.0,0.259,0
292894.5133,gender,"Meridian, Idaho",No,510.5887938999999,0.230402789,0
292881.5154,mobile,"Meridian, Idaho",No,834.7561457,0.216793403,1
292899.7251,gender,"Meridian, Idaho",No,821.1456797000001,0.46797521200000003,1
292882.6257,mobile,"Meridian, Idaho",No,1749.682595,0.454112209,0
292901.6518,gender,"Meridian, Idaho",No,510.0679796,0.30124849800000003,0
292895.9649,gender,"Meridian, Idaho",No,547.6056298999999,0.247096657,0
292889.6989,web,"Meridian, Idaho",No,0.0,0.0,0
292887.6494,web,"Meridian, Idaho",No,0.0,0.0,0
292889.8644,mobile,"Meridian, Idaho",No,1001.1125529999999,0.344354922,1
292882.7935,mobile,"Meridian, Idaho",No,928.3721694,0.241076058,1
292893.6606,gender,"Meridian, Idaho",No,935.9984071,0.37748081,1
292882.8825,mobile,"Meridian, Idaho",No,934.8919248,0.242767189,1
292881.4583,mobile,"Meridian, Idaho",No,1065.5371289999998,0.276654682,0
292893.2506,gender,"Meridian, Idaho",No,1137.515925,0.46812531799999996,0
292896.8445,mobile,"Meridian, Idaho",No,794.7099947,0.426891776,1
292891.4101,gender,"Meridian, Idaho",No,1101.238283,0.405136465,0
292887.4874,web,"Meridian, Idaho",No,0.0,0.0,0
292890.8804,web,"Meridian, Idaho",No,0.0,0.0,0
292899.7669,gender,"Meridian, Idaho",No,728.2521847,0.41671075399999996,0
292894.4364,gender,"Meridian, Idaho",No,508.6292868,0.22951909,0
292897.7699,gender,"Meridian, Idaho",No,492.98771889999995,0.261653348,0
292897.2139,mobile,"Meridian, Idaho",No,794.6566074,0.432018157,1
293737.0,university,Randolph-Macon College,I don't use Tinder,1.0,1.0,0
292889.1401,web,"Meridian, Idaho",No,0.0,0.0,0
292995.1796,university,University of Pennsylvania,I don't use Tinder,34.63879439,0.321022625,1
292889.0388,web,"Meridian, Idaho",No,0.0,0.0,0
292881.7225,mobile,"Meridian, Idaho",No,1220.37122,0.31681642600000004,0
292899.7488,gender,"Meridian, Idaho",No,501.694812,0.281837973,0
292963.0,university,Ohio State University,I don't use Tinder,1.0,0.053,0
292896.6002,gender,"Meridian, Idaho",No,1071.988671,0.517065428,0
292889.37100000004,web,"Meridian, Idaho",No,0.0,0.0,0
293390.6839,university,University of Buffalo,Yes,0.0,0.0,1
292884.4687,mobile,"Meridian, Idaho",No,1051.079978,0.272904704,1
292892.559,gender,"Meridian, Idaho",No,1123.883668,0.444455637,0
293201.0,university,New York University,No,2.0,0.667,1
292889.0771,web,"Meridian, Idaho",No,0.0,0.0,0
292884.6582,mobile,"Meridian, Idaho",No,796.4712775,0.257769202,1
293549.0,university,Florida International University,No,2.0,1.0,0
292889.8119,web,"Meridian, Idaho",No,0.0,0.0,0
292887.2433,web,"Meridian, Idaho",No,0.0,0.0,0
293509.0,university,University of Notre Dame,I don't use Tinder,2.0,0.4,1
293311.0,university,United States Naval Academy,I don't use Tinder,4.0,0.5710000000000001,0
292881.5489,mobile,"Meridian, Idaho",No,1118.627818,0.29042564600000004,0
292883.3243,mobile,"Meridian, Idaho",No,967.2570053999999,0.251162227,1
292888.4392,web,"Meridian, Idaho",No,0.0,0.0,0
293181.0,university,University of Denver,Yes,1.0,1.0,1
293669.0,university,University of Central Oklahoma,No,0.0,0.0,1
292893.5842,gender,"Meridian, Idaho",No,486.898108,0.219718755,0
292900.8021,mobile,"Meridian, Idaho",No,794.1379958,0.481816485,1
292882.2452,mobile,"Meridian, Idaho",No,1526.679497,0.396268402,0
293447.0,university,Union College,No,7.0,0.778,0
292889.7086,web,"Meridian, Idaho",No,0.0,0.0,0
292887.9516,web,"Meridian, Idaho",No,0.0,0.0,0
292889.24100000004,web,"Meridian, Idaho",No,0.0,0.0,0
292896.3889,gender,"Meridian, Idaho",No,884.3289025,0.41819208399999996,1
292883.1387,mobile,"Meridian, Idaho",No,796.6908933,0.23668116100000003,1
292886.1221,mobile,"Meridian, Idaho",No,796.2596973999999,0.27808562,1
292892.447,mobile,"Meridian, Idaho",No,953.9200517,0.376929739,1
292889.5193,mobile,"Meridian, Idaho",No,1007.41858,0.34000216200000005,1
292902.4892,gender,"Meridian, Idaho",No,491.6097794,0.300059394,0
292898.1244,gender,"Meridian, Idaho",No,851.4598268,0.444090184,1
292898.0281,gender,"Meridian, Idaho",No,853.2844346,0.442652544,1
292887.9654,web,"Meridian, Idaho",No,0.0,0.0,0
293717.2448,university,University of Tampa,I don't use Tinder,0.0,0.0,1
293281.0,university,Columbia University,I don't use Tinder,1.0,0.16699999999999998,0
292898.9139,gender,"Meridian, Idaho",No,927.3841427000001,0.501255333,0
292888.2376,gender,Cornell University,No,1038.703651,0.296557615,1
293515.0,university,University of Tennessee,I don't use Tinder,1.0,0.25,0
292887.1853,web,"Meridian, Idaho",No,0.0,0.0,0
292888.0499,web,"Meridian, Idaho",No,0.0,0.0,0
292890.0041,web,"Meridian, Idaho",No,0.0,0.0,0
292883.3381,mobile,"Meridian, Idaho",No,1820.426668,0.472462207,0
292890.5417,web,"Meridian, Idaho",No,0.0,0.0,0
292883.231,mobile,"Meridian, Idaho",No,796.6775521000001,0.237962213,1
293048.299,university,Wesleyan University,I don't use Tinder,7.267954146,0.697179465,1
292899.9841,gender,"Meridian, Idaho",No,545.1533033,0.28685198300000003,0
292888.9799,web,"Meridian, Idaho",No,0.0,0.0,0
292890.4229,web,"Meridian, Idaho",No,0.0,0.0,0
292900.4883,mobile,"Meridian, Idaho",No,806.9816764999999,0.47835455200000004,1
292889.7112,gender,"Meridian, Idaho",No,1067.750342,0.346991369,0
292890.8283,web,"Meridian, Idaho",No,0.0,0.0,0
292890.6779,web,"Meridian, Idaho",No,0.0,0.0,0
292887.5198,web,"Meridian, Idaho",No,0.0,0.0,0
292886.4919,mobile,"Meridian, Idaho",No,1062.738667,0.30181724600000004,1
293001.0,university,University of Pennsylvania,Yes,24.0,0.222,0
292895.8344,gender,"Meridian, Idaho",No,544.2781014999999,0.245596007,0
292890.7336,web,"Meridian, Idaho",No,0.0,0.0,0
292894.2279,gender,"Meridian, Idaho",No,503.31257769999996,0.227121359,0
292888.5838,web,"Meridian, Idaho",No,0.0,0.0,0
292889.9601,web,"Meridian, Idaho",No,0.0,0.0,0
292881.0014,mobile,"Meridian, Idaho",No,797.8461911,0.20721949,0
292900.5845,gender,"Meridian, Idaho",No,505.3719898,0.29036234,0
293463.3851,university,Washington State University,No,3.8654230189999996,0.878408066,1
292888.2852,web,"Meridian, Idaho",No,0.0,0.0,0
292899.3393,gender,"Meridian, Idaho",No,499.89296210000003,0.277660958,0
292901.4294,gender,"Meridian, Idaho",No,531.1828583,0.300340689,0
292888.2842,web,"Meridian, Idaho",No,0.0,0.0,0
292886.2204,mobile,"Meridian, Idaho",No,1067.6998429999999,0.29839277399999997,1
292900.4069,gender,"Meridian, Idaho",No,763.9360928,0.45319475,0
292887.2529,web,"Meridian, Idaho",No,0.0,0.0,0
292888.7882,web,"Meridian, Idaho",No,0.0,0.0,0
292893.4328,gender,"Meridian, Idaho",No,483.0363015,0.217977156,0
292888.5619,gender,"Meridian, Idaho",No,1032.561637,0.301397012,1
292886.2486,mobile,"Meridian, Idaho",No,796.2414266,0.279840028,1
292882.8344,mobile,"Meridian, Idaho",No,931.3709607999999,0.241853901,1
293355.0,university,Northern Arizona University,Yes,1.0,1.0,0
292888.0738,web,"Meridian, Idaho",No,0.0,0.0,0
292888.777,web,"Meridian, Idaho",No,0.0,0.0,0
292883.1129,mobile,"Meridian, Idaho",No,796.6946242,0.23632291600000002,1
293207.0,university,Butler University,No,44.0,0.647,0
292889.5071,web,"Meridian, Idaho",No,0.0,0.0,0
292890.5585,mobile,"Meridian, Idaho",No,988.4294502,0.35310948600000003,1
292888.8583,mobile,"Meridian, Idaho",No,795.8642386,0.316058526,1
293051.0,university,University of Miami,No,0.0,0.0,0
293301.9019,university,University of Missouri,No,8.774525352000001,0.57840603,1
292881.5129,mobile,"Meridian, Idaho",No,834.5667797,0.21674428399999998,1
292902.0258,gender,"Meridian, Idaho",No,511.7135291,0.305063181,0
293247.0,university,University of Maryland,Yes,1.0,1.0,0
293617.0,university,Massachusetts Institute of Technology,I don't use Tinder,1.0,0.5,0
292889.6205,web,"Meridian, Idaho",No,0.0,0.0,0
292882.6255,mobile,"Meridian, Idaho",No,796.7650675,0.22955878,1
293399.0,university,Colorado State University,No,3.0,1.0,0
292888.3863,web,"Meridian, Idaho",No,0.0,0.0,0
292887.4828,web,"Meridian, Idaho",No,0.0,0.0,0
292887.913,web,"Meridian, Idaho",No,0.0,0.0,0
292897.6815,gender,"Meridian, Idaho",No,492.5986362,0.260751384,0
293123.1867,university,Yale University,I don't use Tinder,2.84888983,0.23740748600000003,1
292895.1837,gender,"Meridian, Idaho",No,527.6835948,0.238112209,0
292881.36,mobile,"Meridian, Idaho",No,1007.933705,0.26171317899999996,0
292893.9656,gender,"Meridian, Idaho",No,476.2487666999999,0.222849414,0
292889.1977,mobile,"Meridian, Idaho",No,795.8151824,0.320769021,1
292898.4486,gender,"Meridian, Idaho",No,654.7581679,0.341568889,0
293449.0,university,Union College,I don't use Tinder,1.0,0.111,0
292887.7534,web,"Meridian, Idaho",No,0.0,0.0,0
293031.0,university,"University of California, Los Angeles",Yes,1.0,0.077,0
292891.3274,gender,"Meridian, Idaho",No,980.1872678999999,0.342663661,1
292888.0315,mobile,"Meridian, Idaho",No,795.9837375,0.304583953,1
292889.0887,web,"Meridian, Idaho",No,0.0,0.0,0
292900.1205,gender,"Meridian, Idaho",No,378.50172589999994,0.23077330899999998,0
292993.0,university,Stanford University,I don't use Tinder,37.0,0.34299999999999997,1
292884.7488,mobile,"Meridian, Idaho",No,1200.402473,0.311636819,0
293551.0,university,Florida International University,I don't use Tinder,0.0,0.0,0
292888.4479,web,"Meridian, Idaho",No,0.0,0.0,0
292887.2434,web,"Meridian, Idaho",No,0.0,0.0,0
292896.5545,gender,"Meridian, Idaho",No,562.6387804999999,0.253876313,0
292894.1182,gender,"Meridian, Idaho",No,927.3323124,0.384308972,1
293398.9682,university,University of Rochester,I don't use Tinder,0.7231062490000001,0.7231062490000001,1
292901.5979,gender,"Meridian, Idaho",No,449.0474387,0.273987174,0
292887.029,web,"Meridian, Idaho",No,0.0,0.0,0
293127.0,university,University of Arkansas,Yes,12.0,0.182,0
293573.0,university,Ohio University,No,1.0,1.0,1
292901.0482,gender,"Meridian, Idaho",No,534.8672148,0.29678337899999996,0
292892.7344,gender,"Meridian, Idaho",No,1127.341018,0.450458632,0
292897.8071,mobile,"Meridian, Idaho",No,855.9756191,0.444536283,1
293671.0,university,University of Central Oklahoma,I don't use Tinder,1.0,0.5,0
292887.708,web,"Meridian, Idaho",No,0.0,0.0,0
292883.9491,mobile,"Meridian, Idaho",No,1013.0226240000001,0.263033172,1
293553.0,university,University of Central Florida,Yes,0.0,0.0,1
293048.8557,university,University of Oregon,Yes,1.25300576,0.183048614,1
292961.6692,university,University of Pennsylvania,I don't use Tinder,0.152724677,0.050857318,1
292899.1661,gender,"Meridian, Idaho",No,831.7320952,0.459633996,1
293073.0,university,University of Virginia,Yes,3.0,0.16699999999999998,0
292888.1716,web,"Meridian, Idaho",No,0.0,0.0,0
292893.91,gender,"Meridian, Idaho",No,449.7060021000001,0.210725102,0
293309.0,university,United States Naval Academy,No,3.0,0.429,0
292890.5129,gender,"Meridian, Idaho",No,995.6123772,0.33050995699999997,1
293079.0,university,Vanderbilt University,Yes,23.0,0.235,0
292884.6599,mobile,"Meridian, Idaho",No,1065.086436,0.276537779,1
292884.7557,mobile,"Meridian, Idaho",No,1072.103989,0.278358031,1
293417.0,university,Arizona State University,No,1.0,0.5,1
292885.596,mobile,"Meridian, Idaho",No,1079.109392,0.290517287,1
292882.0036,mobile,"Meridian, Idaho",No,1385.1335490000001,0.359553412,0
292897.4317,mobile,"Meridian, Idaho",No,794.6251286,0.43504082899999996,1
292897.3767,gender,"Meridian, Idaho",No,570.3586918999999,0.262515746,0
292895.5712,gender,"Meridian, Idaho",No,537.5648427,0.24256845800000001,0
292900.5046,gender,"Meridian, Idaho",No,769.3826949,0.458763473,0
292894.6055,mobile,"Meridian, Idaho",No,795.0335934999999,0.395819052,1
292888.9946,web,"Meridian, Idaho",No,0.0,0.0,0
292881.1198,mobile,"Meridian, Idaho",No,805.7754452,0.209276225,1
292899.2934,mobile,"Meridian, Idaho",No,828.8163376,0.46328308799999995,1
292952.0706,university,"University of California, Berkeley",No,69.85871926,0.541873374,1
292893.4888,mobile,"Meridian, Idaho",No,934.8842015,0.39006931200000006,1
292896.9862,gender,"Meridian, Idaho",No,374.3377539,0.203034465,0
293202.1744,university,University of Washington,No,2.341279953,0.585319988,1
292882.2146,mobile,"Meridian, Idaho",No,1508.784107,0.391626594,0
292888.9336,web,"Meridian, Idaho",No,0.0,0.0,0
292896.5153,gender,"Meridian, Idaho",No,881.9350720000001,0.420078224,1
292940.9079,university,"University of California, Berkeley",No,80.27082423,0.537737967,1
292977.0,university,Santa Clara University,Yes,0.0,0.0,1
292896.4425,mobile,"Meridian, Idaho",No,880.9113423,0.42732429899999996,1
292890.6779,mobile,"Meridian, Idaho",No,795.6012537,0.341310958,1
292887.0599,web,"Meridian, Idaho",No,0.0,0.0,0
293283.0,university,Purdue University,Yes,5.0,0.192,0
292890.4114,web,"Meridian, Idaho",No,0.0,0.0,0
292900.5278,gender,"Meridian, Idaho",No,770.6767311000001,0.46008652299999997,0
292887.5304,web,"Meridian, Idaho",No,0.0,0.0,0
292901.3951,gender,"Meridian, Idaho",No,508.9385705,0.29863032300000003,0
292898.8122,mobile,"Meridian, Idaho",No,794.4255992000001,0.45420011299999996,1
